"X","Symbol","Synonym.Symbol","Scientific.Name.with.Author","Common.Name","Family","Accepted_ID","Accepted_Name","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
35684,"EXCA",NA,"Exostema caribaeum (Jacq.) Schult.","Caribbean princewood","Rubiaceae","1125915-2","Exostema caribaeum","Species","Exostema caribaeum","1125915-2"
35687,"EXEL",NA,"Exostema ellipticum Griseb.","plateado","Rubiaceae","77187945-1","Solenandra elliptica","Species","Solenandra elliptica","77187945-1"
35694,"EXOST",NA,"Exostema (Pers.) Rich. ex Humb. & Bonpl.","exostema","Rubiaceae","1057956-2","Exostema","Genus",NA,NA
35776,"FAOC",NA,"Faramea occidentalis (L.) A. Rich.","false coffee","Rubiaceae","1187456-2","Faramea occidentalis","Species","Faramea occidentalis","1187456-2"
35784,"FARAM",NA,"Faramea Aubl.","false coffee","Rubiaceae","34600-1","Faramea","Genus",NA,NA
35837,"FEBR5",NA,"Fernaldia brachypharynx Woodson","fernaldia","Apocynaceae","88698-2","Echites panduratus","Species","Echites panduratus","88698-2"
35978,"FEPA3",NA,"Fernaldia pandurata (A. DC.) Woodson","loroco","Apocynaceae","88698-2","Echites panduratus","Species","Echites panduratus","88698-2"
35995,"FERNA",NA,"Fernaldia Woodson","fernaldia","Apocynaceae","30002973-2","Echites","Genus",NA,NA
36218,"FIMA4",NA,"Finlaysonia maritima (Blume) Backer ex K. Heyne","finlaysonia","Apocynaceae","101356-1","Secamone maritima","Species","Secamone maritima","101356-1"
36477,"FOCO",NA,"Forsteronia corymbosa (Jacq.) G. Mey.","leche de perra","Apocynaceae","77084115-1","Pinochia corymbosa","Species","Pinochia corymbosa","77084115-1"
36554,"FORST",NA,"Forsteronia G. Mey.","forsteronia","Apocynaceae","328996-2","Forsteronia","Genus",NA,NA
37007,"FUAF",NA,"Funtumia africana (Benth.) Stapf","Lagos silkrubbertree","Apocynaceae","79098-1","Funtumia africana","Species","Funtumia africana","79098-1"
