Plant_number,Latin_plant_name,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant
P392,"Viscum album L. s.l. (V. album L. s.str., V. album subsp. abietis (Wiesb.) Abrom. and V. album subsp. austriacum (Wiesb.) Vollm.)",Mistel,Mistletoe,Viscum,Santalaceae,Europe and Asia,41,domestic,Forest plant,Mar.-Apr.,Whole plant,toxic,weak toxic,,,
P393,Phytolacca americana L.,Amerikanische Kermsbeere,Virginian poke,Phytolacca,Phytolaccaceae,North America,6,alien,Ornamental garden plant,Jul.,"Whole plant, highest concentrations in root, seed",toxic,,yes,yes,
P394,Phytolacca esculenta Van Houtte,Essbare Kermesbeere,,Phytolacca,Phytolaccaceae,Eastern Asia,rarely introduced,alien,Ornamental garden plant,Jul.,"Whole plant, highest concentrations in root, seed",toxic (unknown strength),,,yes,
P395,Opuntia humifusa (Raf.) Raf.,Gemeiner Feigenkaktus,Devil's tongue,Opuntia,Cactaceae,North America,3,alien,Xerophyte,Jun.,,toxic,,yes,yes,
P396,Salsola ruthenica Iljin,Kali-Salzkraut,Common saltwort,Salsola,Amaranthaceae,Europe and Asia,4,domestic,Weed and ruderal plant,Jul.-Oct.,Whole plant,toxic,,,,
P397,Bassia scoparia (L.) Voss,Besen-Radmelde,Burning bush,Bassia,Amaranthaceae,Asia,1.5,alien,Ornamental garden plant,Jul.-Sep.,Whole plant,toxic,,yes,yes,
P398,Chenopodium ambrosioides L.,Tee-Gaensefuss,Wormseed goosefoot,Chenopodium,Amaranthaceae,South America,0.7,alien,Weed and ruderal plant,Aug.-Oct.,"Leaf (blooming herb), seed",toxic,,,,
P399,Chenopodium album L.,Weisser Gaensefuss,White goosefoot,Chenopodium,Amaranthaceae,global,60,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P400,Chenopodium bonus-henricus L.,Guter Heinrich,,Chenopodium,Amaranthaceae,Europe,83,domestic,Weed and ruderal plant,Jun.-Aug.,"Leaf (blooming herb), seed",toxic,,,,
P401,Chenopodium botrys L.,Druesiger Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,5,domestic,Weed and ruderal plant,Jul.-Aug.,"Leaf (blooming herb), seed",toxic,,,,
P402,Chenopodium ficifolium Sm.,Feigenblaettriger Gaensefuss,Fig-leaved goosefoot,Chenopodium,Amaranthaceae,Southern Europe and Asia,13,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P403,Chenopodium glaucum L.,Graugruener Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,14,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P404,Chenopodium hybridum L.,Bastard-Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,21,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P405,Chenopodium murale L.,Mauer-Gaensefuss,,Chenopodium,Amaranthaceae,Mediterranenan,6,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P406,Chenopodium polyspermum L.,Vielsamiger Gaensefuss,,Chenopodium,Amaranthaceae,Europe and Asia,53,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P407,Chenopodium rubrum L.,Roter Gaensefuss,Red goosefoot,Chenopodium,Amaranthaceae,"Europe, Asia and North America",13,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P408,Chenopodium strictum Roth,Gestreifter Gaensefuss,,Chenopodium,Amaranthaceae,,10,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P409,Chenopodium vulvaria L.,Stinkender Gaensefuss,Stinking goosefoot,Chenopodium,Amaranthaceae,Mediterranean,6,domestic,Weed and ruderal plant,Jul.-Sep.,"Leaf (blooming herb), seed",toxic,,,,
P410,Spinacia oleracea L.,Gemuese-Spinat,Spinach,Spinacia,Amaranthaceae,Asia,agriculture,domestic,Agricultural plant,May-Sep.,Whole plant,skin-irritating,,,,yes
P411,Beta vulgaris L.,Rueben,Beet,Beta,Amaranthaceae,Europe,agriculture,domestic,Agricultural plant,Jul.-Sep.,"Leaf, tuber",toxic,toxic,,,yes
P412,Agrostemma githago L.,Kornrade,Corn-cockle,Agrostemma,Caryophyllaceae,Mediterranean,15,domestic,Weed and ruderal plant,Jun.-Aug.,Seed (or whole plant),strong toxic,strong toxic,,,
P413,Saponaria ocymoides L.,Rotes Seifenkraut,rock soapwort,Saponaria,Caryophyllaceae,Southern and Central Europe,35,domestic,Xerophyte,May-Sep.,"Whole plant, highest concentrations in root",weak toxic,,,,
P414,Saponaria officinalis L.,Echtes Seifenkraut,Bouncingbet,Saponaria,Caryophyllaceae,Europe and Western Asia,36,domestic,Weed and ruderal plant,Jul.-Sep.,"Whole plant, highest concentrations in root",weak toxic,,,,
P415,Reynoutria japonica Houtt.,Japanischer Staudenknoeterich,,Reynoutria,Polygonaceae,Eastern Asia,45,alien,Ornamental garden plant,Jul.-Sep.,,nontoxic,,yes (forbidden CH),yes,
P416,Reynoutria sachalinensis (F. Schmidt) Nakai,Sachalin-Staudenknoeterich,,Reynoutria,Polygonaceae,Eastern Asia,6,alien,Ornamental garden plant,Jul.-Sep.,,nontoxic,,yes (forbidden CH),yes,
P417,Reynoutria x bohemica Chrtek & Chrtkova,Bastard-Staudenknoeterich,,Reynoutria,Polygonaceae,Europe,occasionally introduced ,alien,Ornamental garden plant,Jul.-Sep.,,nontoxic,,yes (forbidden CH),yes,
P418,Polygonum polystachyum Meisn.,Vielaehriger Knoeterich,Himalayan knotweed,Polygonum,Polygonaceae,Asia,11,alien,Ornamental garden plant,Jul.-Oct.,,skin-irritating,,yes,yes,
P419,Rumex acetosella L. s.l. (R. acetosella L. s.str. and R.acetosella subsp. Pyrenaicus (Lapeyr.) Akeroyd),Kleiner Sauerampfer,Sheep's sorrel,Rumex,Polygonaceae,Europe,55,domestic,Weed and ruderal plant,May-Aug.,Whole plant,skin-irritating,weak toxic,,,
P420,Rumex scutatus L.,Schildblaettriger Ampfer,French sorrel,Rumex,Polygonaceae,Europe and Western Asia,58,domestic,Mountain plant,Jun.-Jul.,Whole plant,skin-irritating,weak toxic,,,
P421,Rumex nivalis Hegetschw.,Schnee-Ampfer,Snow dock,Rumex,Polygonaceae,Alps,9,domestic,Mountain plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P422,Rumex acetose L.,Wiesen-Sauerampfer,Common sorrel,Rumex,Polygonaceae,Europe and Siberia,72,domestic,Meadow plant,May-Aug.,Whole plant,skin-irritating,weak toxic,,,
P423,Rumex alpestris Jacq.,Berg-Sauerampfer,Maiden sorrel,Rumex,Polygonaceae,Europe and Siberia,67,domestic,Mountain plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P424,Rumex thyrsiflorus Fingerh.,Rispen-Sauerampfer,Compact dock,Rumex,Polygonaceae,Europe and Siberia,7,alien,Weed and ruderal plant,Jul.-Sep.,Whole plant,skin-irritating,weak toxic,,,
P425,Rumex aquaticus L.,Wasser-Ampfer,Western dock,Rumex,Polygonaceae,Europe and Siberia,1,domestic,Shore- and marsh plant,Aug.,Whole plant,skin-irritating,weak toxic,,,
P426,Rumex alpinus L.,Alpen-Ampfer,Alpine dock,Rumex,Polygonaceae,Southern and Central Europe,58,domestic,Mountain plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P427,Rumex longifolius DC.,Langblaettriger Ampfer,Dooryard dock,Rumex,Polygonaceae,Europe and Siberia,0.7,alien,Pioneer plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P428,Rumex hydrolapathum Huds.,Riesen-Ampfer,Great water dock,Rumex,Polygonaceae,Europe,5,domestic,Shore- and marsh plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P429,Rumex patientia L.,Garten-Ampfer,Patience dock,Rumex,Polygonaceae,Mediterannean,2,domestic,Weed and ruderal plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P430,Rumex conglomeratus Murray,Knaeuelbluetiger Ampfer,Clustered dock,Rumex,Polygonaceae,Europe and Asia,23,domestic,Shore- and marsh plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P431,Rumex sanguineus L.,Blut-Ampfer,Wood dock,Rumex,Polygonaceae,Europe and Western Asia,26,domestic,Forest plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P432,Rumex pulcher L.,Schoener Ampfer,Fiddle dock,Rumex,Polygonaceae,Mediterannean,5,domestic,Weed and ruderal plant,Jun.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P433,Rumex obtusifolius L.,Stumpfblaettriger Ampfer,Bluntleaf dock,Rumex,Polygonaceae,Europe,65,domestic,Meadow plant,Jun.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P434,Rumex crispus L.,Krauser Ampfer,Curly dock,Rumex,Polygonaceae,Europe and Asia,48,domestic,Weed and ruderal plant,Jul.-Aug.,Whole plant,skin-irritating,weak toxic,,,
P435,Fagopyrum esculentum Moench,Echter Buchweizen,Buckwheat,Fagopyrum,Polygonaceae,global,agriculture,alien,Agricultural plant,Jul.-Oct.,Herb,weak toxic,strong toxic,,,yes
P436,Rheum rhabarbarum L.,Rhabarber,Rhubarb,Rheum,Polygonaceae,Asia,agriculture,domestic,Agricultural plant,May-Jun.,"Whole plant, highest concentrations in root","allergenic, skin-irritating",weak toxic,,,yes
P437,Persicaria perfoliata (L.) H. Gross,Durchwachsener Knoeterich,Mile-a-minute weed,Persicaria,Polygonaceae,Asia,0,alien,Ornamental garden plant,,,nontoxic,,yes (forbidden EU),yes,
P438,Cornus sericea L.,Seidiger Hornstrauch,Red osier dogwood,Cornus,Cornaceae,North America,occasionally introduced ,alien,Forest plant,May-Jun.,Aerial part (or whole plant),weak toxic,very strong toxic (cat),yes,yes,
P439,Arctostaphylos uve-ursi (L.) Spreng.,Baerentraube,Common bearberry,Arctostaphylos,Ericaceae,"Europe, Asia and North America",55,domestic,Forest plant,Apr.-Jul.,Leaf (or whole plant),carcinogenic,,,,
P440,Rhododendron ferrugineum L.,Rostblaettrige Alpenrose,Rusty-leaved alpenrose,Rhododendron,Ericaceae,Southern and Central Europe,67,domestic,Mountain plant,Jun.-Aug.,"Fruit, leaf (or whole part)",unknown,,,,
P441,Rhododendron hirsutum L.,Bewimperte Alpenrose,Hairy alpenrose,Rhododendron,Ericaceae,Eastern and Central Europe,37,domestic,Mountain plant,May-Jul.,"Fruit, leaf (or whole part)",nontoxic,,,,
P442,Rhododendron luteum Sweet,Gelpe Alpenrose,Yellow Azalea,Rhododendron,Ericaceae,Eastern Europe,0,alien,Ornamental garden plant,May-Jun.,"Fruit, leaf (or whole part)",strong toxic,strong toxic,,yes,
P443,Rhododendron catawbiense Michx.,Catawba-Rhododendron,Catawba rhododendron,Rhododendron,Ericaceae,North America,0,alien,Ornamental garden plant,May-Jun.,"Fruit, leaf (or whole part)",strong toxic,strong toxic,,yes,
P444,Rhododendron simsii Planch.,Indische Azalee,Indian azalea,Rhododendron,Ericaceae,Eastern Asia,0,alien,Ornamental garden plant,Oct.-May,"Fruit, leaf (or whole part)",strong toxic,strong toxic,,yes,
P445,Andromeda polifolia L.,Rosmarinheide,Marsh Andromede,Andromeda,Ericaceae,"Europe, Asia and North America",17,domestic,Shore- and marsh plant,May-Jun.,"Flower, fruit, leaf",strong toxic,,,,
P446,Vaccinium myrtillus L.,Heidelbeere,Bilberry,Vaccinium,Ericaceae,Europe and Siberia,agriculture,domestic,Agricultural plant,Apr.-Jun.,Leaf,nontoxic,,,,yes
P447,Vaccinium uliginosum aggr. (V. uliginosum L. and V. gaultherioides Bigelow),Rauschbeere,Bog bilberry,Vaccinium,Ericaceae,global,70,domestic,Mountain plant,May-Jun.,Fruit,weak toxic,,,,
P448,Pieris floribunda (Pursh) Benth. & Hook. f.,Vielbluetige Lavendelheide,Fetter-bush,Pieris,Ericaceae,North America,0,alien,Ornamental garden plant,Apr.-May,Whole plant,toxic,strong toxic,,yes,
P449,Pieris japonica (Thunb.) D. Don ex G. Don,Japanische Lavendelheide,Japanese pieris,Pieris,Ericaceae,Asia,0,alien,Ornamental garden plant,Mar.-Apr.,Whole plant,toxic,strong toxic,,yes,
P450,Kalmia angustifolia L.,Schmalblaettrige Lorbeerrose,Sheep laurel,Kalmia,Ericaceae,North America,0,alien,Ornamental garden plant,Jun.-Jul.,Leaf,toxic,strong toxic,,yes,
P451,Kalmia latifolia L.,Berglorbeer,Mountain laurel,Kalmia,Ericaceae,North America,0,alien,Ornamental garden plant,May-Jun.,Leaf,toxic,strong toxic,,yes,
P452,Leucothoe fontanesiana (Steud.) Sleumer,Traubenheide,Highland dog-hobble,Leucothoe,Ericaceae,North America,0,alien,Ornamental garden plant,Apr.-May,,toxic,strong toxic,,yes,
P453,Primula acaulis (L.) L.,Staengellose Schluesselblume,Primrose,Primula,Primulaceae,Mediterranean,26,domestic,Forest plant,Mar.-Apr.,Whole plant,allergenic,,,,
P454,Primula elatior (L.) L.,Wald-Schluesselblume,True oxlip,Primula,Primulaceae,Central Europe,69,domestic,Forest plant,Mar.-May,Whole plant,allergenic,,,,
P455,Primula veris L.,Fruehlings-Schluesselblume,Cowslip,Primula,Primulaceae,Central Europe,56,domestic,Xerophyte,Apr.-May,Whole plant,allergenic,,,,
P456,Primula auricula L.,Aurikel,Auricula,Primula,Primulaceae,Southern and Central Europe,38,domestic,Mountain plant,May-Jun.,Whole plant,allergenic,,,,
P457,Primula hirsuta All.,Rote Felsen-Primel,Stinking primrose,Primula,Primulaceae,Central Europe,40,domestic,Mountain plant,Jun.-Jul.,Whole plant,allergenic,,,,
P458,Primula farionsa L.,Mehl-Primel,Birdseye primrose,Primula,Primulaceae,Alps,62,domestic,Shore- and marsh plant,May-Jul.,Whole plant,allergenic,,,,
P459,Primula integrifolia L.,Ganzblaettrige Primel,Entire-leaved primrose,Primula,Primulaceae,Alps,22,domestic,Mountain plant,Jun.-Jul.,Whole plant,allergenic,,,,
P460,Primula latifolia Lapeyr.,Breitblaettrige Primel,European alpine primrose,Primula,Primulaceae,Alps,6,domestic,Mountain plant,Jun.-Jul.,Whole plant,allergenic,,,,
P461,Primula daonensis (Leyb.) Leyb.,Inntaler Primel,,Primula,Primulaceae,Alps,0.3,domestic,Mountain plant,Jun.-Jul.,Whole plant,allergenic,,,,
P462,Primula glutinosa Jacq.,Klebrige Primel,,Primula,Primulaceae,Alps,0.2,domestic,Mountain plant,Jun.-Jul.,Whole plant,allergenic,,,,
P463,Primula halleri J. F. Gmel. ,Hallers Primel,,Primula,Primulaceae,Southern and Central Europe,3,domestic,Mountain plant,Jun.-Jul.,Whole plant,allergenic,,,,
P464,Cyclamen hederifolium Aiton,Efeublaettriges Alpenveilchen,Ivy-leaved cyclamen,Cyclamen,Primulaceae,Southern Europe,2,domestic,Forest plant,Sep.,Tuber,toxic,,,,
P465,Cyclamen purpurascens Mill.,Europaeisches Alpenveilchen,Purple cyclamen,Cyclamen,Primulaceae,Southern and Central Europe,12,domestic,Forest plant,Jun.-Oct.,Tuber,toxic,,,,
P466,Anagallis arvensis L.,Acker-Gauchheil,Scarlet pimpernel,Anagallis,Primulaceae,Mediterranean,42,domestic,Weed and ruderal plant,Jun.-Sep.,"Herb, root, seed (or whole plant)",toxic,toxic,,,
P467,Impatiens glandulifera Royle,Druesiges Springkraut,,Impatiens,Balsaminaceae,Asia,37,alien,Weed and ruderal plant,Jul.-Sep.,Whole plant,weak toxic,,yes (forbidden CH),,
P468,Impatiens balfourii Hook. f.,Balfours Springkraut,,Impatiens,Balsaminaceae,Asia,9,alien,Weed and ruderal plant,Jul.-Oct.,Whole plant,weak toxic,,yes,,
P469,Asclepias syriaca L.,Syrische Seidenpflanze,Common milkweed,Asclepias,Apocynaceae,North America,2,alien,Weed and ruderal plant,Jun.-Aug.,"Latex, rhizome (or whole plant)",toxic,toxic,yes,,
P470,Asclepias curassavica L.,Indianer Seidenpflanze,Scarlet milkweed,Asclepias,Apocynaceae,South America,0,alien,Ornamental garden plant,Jun.-Aug.,"Latex, rhizome (or whole plant)",toxic,toxic,,yes,
P471,Vincetoxicum hirundinaria Medik.,Schwalbenwurz,White swallow-wort,Vincetoxicum,Apocynaceae,Europe and Asia,49,domestic,Xerophyte,Jun.-Aug.,"Whole plant, highest concentrations in aerial part",toxic,,,,
P472,Vinca minor L.,Kleines Immergruen,Lesser periwinkle,Vinca,Apocynaceae,Europe and Western Asia,48,domestic,Forest plant,Apr.-May,"Herb, root (or whole plant)",toxic,,,,
P473,Vinca major L.,Groses Immergruen,Greater periwinkle,Vinca,Apocynaceae,Southern Europe and Western Asia,occasionally introduced ,alien,Mountain plant,Apr.-May,"Herb, root (or whole plant)",toxic,,,yes,
P474,Nerium oleander L.,Oleander,Oleander,Nerium,Apocynaceae,Mediterranean,0,alien,Ornamental garden plant,,Whole plant,very strong toxic,very strong toxic,,yes,
P475,Thevetia peruviana (Pers.) K. Schum.,Schellenbaum,Yellow oleander,Thevetia,Apocynaceae,South America,0,alien,Ornamental garden plant,May-Oct.,"Whole plant, highest concentrations in bark, latex",very strong toxic,very strong toxic,,yes,
P476,Catharanthus roseus (L.) G. Don,Madagaskar-Immergruen,Madagascar periwinkle,Catharanthus,Apocynaceae,global,0,alien,Ornamental garden plant,Mar.-Oct.,"Whole plant, highest concentration in root",strong toxic,,,yes,
P477,Galium odoratum (L.) Scop.,Echter Waldmeister,Woodruff-asperule,Galium,Rubiaceae,Europe and Siberia,55,alien,Forest plant,Apr.-Jun.,Aerial part (or whole plant),weak toxic,,,,
P478,Rubia tinctorum L.,Faerber-Roete,Madder root,Rubia,Rubiaceae,Mediterranean and Western Asia,2,alien,Weed and ruderal plant,Jun.-Jul.,Root,weak toxic,,,,
P479,Echium vulgare L.,Gemeiner Natterkopf,Blueweed,Echium,Boraginaceae,Mediterranean and Western Asia,56,domestic,Xerophyte,May-Oct.,Whole plant,toxic,toxic,,,
P480,Symphytum officinale L.,Echte Wallwurz,Common comfrey,Symphytum,Boraginaceae,Europe and Asia,44,domestic,Shore- and marsh plant,May-Aug.,Whole plant,weak toxic,weak toxic,,,
P481,Symphytum asperum Lepech.,RaueWallwurz,Prickly comfrey,Symphytum,Boraginaceae,Asia,occasionally introduced ,alien,Weed and ruderal plant,May-Aug.,Whole plant,weak toxic,weak toxic,,,
P482,Symphytum bulbosum K. F. Schimp.,Knollige Wallwurz,Bulbous comfey,Symphytum,Boraginaceae,Southern Europe,1.5,domestic,Forest plant,Apr.,Whole plant,weak toxic,weak toxic,,,
P483,Symphytum tuberosum L.,Knotige Wallwurz,Tuberous comfrey,Symphytum,Boraginaceae,Southern Europe,1.5,domestic,Forest plant,Apr.-May,Whole plant,weak toxic,weak toxic,,,
P484,Anchusa officinalis L.,Echte Ochsenzunge,Common buglloss,Anchusa,Boraginaceae,Europe,11,domestic,Weed and ruderal plant,May-Sep.,"Flower, leaf, herb",toxic,,,,
P485,Anchusa arvensis (L.) Bieb.,Ackerkrummhals,,Anchusa,Boraginaceae,Asia,14,domestic,Weed and ruderal plant,Jun.-Sep.,"Flower, leaf, herb",toxic,,,,
P486,Heliotropium europaeum L.,Europaeische Sonnenwende,European heliotrope,Heliotropium,Boraginaceae,Mediterranean and Western Asia,4,domestic,Weed and ruderal plant,Jul.-Sep.,Whole plant,toxic,strong toxic,,,
P487,Heliotropium arborescens L.,Vanilleblume,Garden heliotrope,Heliotropium,Boraginaceae,South America,0,alien,Ornamental garden plant,May-Sep.,Whole plant,toxic,strong toxic,,yes,
P488,Borago officinalis L.,Borretsch,Borage,Borago,Boraginaceae,Mediterranean,rarely introduced,alien,Weed and ruderal plant,May-Aug.,Aerial part (or whole plant),weak toxic,,,yes,
P489,Cynoglossum officinale L.,Echte Hundszunge,Hound's tongue,Cynoglossum,Boraginaceae,Europe and Asia,21,domestic,Weed and ruderal plant,May-Jul.,Whole plant,strong toxic,strong toxic,,,
P490,Cynoglossum germanicum Jacq.,Deutsche Hundszunge,,Cynoglossum,Boraginaceae,Europe,4,domestic,Forest plant,Jun.-Jul.,Whole plant,strong toxic,strong toxic,,,
P491,Lithospermum officinale L. ,Echter Steinsame,,Lithospermum,Boraginaceae,Europe and Asia,28,domestic,Forest plant,May-Jul.,Whole plant,toxic (unknown strength),,,,
P492,Myosotis sylvatica Hoffm.,Wald-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,40,domestic,Forest plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,
P493,Myosotis scorpioides L.,Sumpf-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Siberia,55,domestic,Shore- and marsh plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,
P494,Myosotis stricta Roem. & Schult.,Sand-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Asia,8,domestic,Xerophyte,Mar.-May,Aerial part (or whole plant),toxic (unknown strength),,,,
P495,Myosotis ramosissima Rochel,Huegel-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Western Asia,17,domestic,Weed and ruderal plant,Apr.-Jun.,Aerial part (or whole plant),toxic (unknown strength),,,,
P496,Myosotis rehsteineri Wartm.,Bodensee-Vergissmeinnicht,,Myosotis,Boraginaceae,Alps,1.5,domestic,Shore- and marsh plant,Apr.-May,Aerial part (or whole plant),toxic (unknown strength),,,,
P497,Myosotis nemorosa Besser,Hain-Vergissmeinnicht,,Myosotis,Boraginaceae,Central and Eastern Europe,37,domestic,Shore- and marsh plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,
P498,Myosotis discolor Pers.,Buntes Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,3,domestic,Weed and ruderal plant,Apr.-Jun.,Aerial part (or whole plant),toxic (unknown strength),,,,
P499,Myosotis decumbens Host,Niederliegendes Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,10,domestic,Mountain plant,Jun.-Aug.,Aerial part (or whole plant),toxic (unknown strength),,,,
P500,Myosotis cespitosa Schultz,Rasiges Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Siberia,11,domestic,Shore- and marsh plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,
P501,Myosotis arvensis Hill,Acker-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,62,domestic,Weed and ruderal plant,Apr.-Oct.,Aerial part (or whole plant),toxic (unknown strength),,,,
P502,Myosotis alpestris F. W. Schmidt,Alpen-Vergissmeinnicht,,Myosotis,Boraginaceae,Southern and Central Europe,61,domestic,Mountain plant,Jun.-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,
P503,Nicandra physalodes (L.) Gaertn.,Giftbeere,Apple of Peru,Nicandra,Solanaceae,South America,4,alien,Ornamental garden plant,Jul.-Oct.,"Whole plant, highest concentrations in root",toxic,toxic,,yes,
P504,Lycium barbarum L.,Bocksdorn,Goji,Lycium,Solanaceae,Mediterranean,0,alien,Ornamental garden plant,Jun.-Aug.,Whole plant,weak toxic,,,yes,
P505,Atropa bella-donna L.,Tollkirsche,Deadly night shade,Atropa,Solanaceae,Europe and Asia,39,domestic,Forest plant,Jun.-Aug.,Whole plant,very strong toxic,very strong toxic,,,
P506,Scopolia carniolica Jacq.,Krainer Tollkraut,Henbane bell,Scopolia,Solanaceae,Southern and Central Europe,0,domestic,Forest plant,Apr.-Jun.,"Whole plant, highest concentrations in root",very strong toxic,very strong toxic,,,
P507,Hyoscyamus niger L.,Schwarzes Bilsenkraut,Belene,Hyoscyamus,Solanaceae,Europe and Asia,8,domestic,Weed and ruderal plant,Jun.-Sep.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,
P508,Physalis alkekengi L.,Gewoehnliche Blasenkirsche,Bladder cherry,Physalis,Solanaceae,Europe and Asia,14,alien,Weed and ruderal plant,May-Aug.,"Fuit, root (or whole plant without)",toxic,,,yes,
P509,Solanum nigrum L.,Schwarzer Nachtschatten,Black nightshade,Solanum,Solanaceae,Europe and Asia,44,domestic,Weed and ruderal plant,Jun.-Oct.,Whole plant,strong toxic,strong toxic,,,
P510,Solanum chenopodioides Lam.,Zierlicher Nachtschatten,Goosefoot nightshade,Solanum,Solanaceae,South America,2,alien,Weed and ruderal plant,Jun.-Sep.,Whole plant,strong toxic,strong toxic,,,
P511,Solanum villosum Mill. s.l.,Gelber Nachtschatten,Yellow nightshade,Solanum,Solanaceae,Europe and Asia,1.5,domestic,Weed and ruderal plant,Jul.-Oct.,Whole plant,strong toxic,strong toxic,,,
P512,Solanum dulcamara L.,Bittersuesser Nachtschatten,Bittersweet,Solanum,Solanaceae,Europe and Siberia,52,domestic,Forest plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,
P513,Solanum tuberosum L.,Kartoffel,Potato,Solanum,Solanaceae,South America,agriculture,domestic,Agricultural plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,yes
P514,Solanum melongena L.,Aubergine,Eggplant,Solanum,Solanaceae,Asia,agriculture,alien,Agricultural plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,yes
P515,Solanum carolinense L.,Karolina-Nachtschatten,Carolina horsenettle,Solanum,Solanaceae,North America,rarely introduced,alien,Ornamental garden plant,,Whole plant,strong toxic,,yes,yes,
P516,Lycopersicon esculentum Mill.,Tomate,Tomato,Lycopersicon,Solanaceae,South America,agriculture,domestic,Agricultural plant,Jul.-Oct.,Whole plant,toxic,toxic,yes,,yes
P517,Datura stramonium L.,Stechapfel,Jimson weed,Datura,Solanaceae,Central America,16,alien,Weed and ruderal plant,Jun.-Oct.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,
P518,Nicotiana tabacum L.,Virginischer Tabak,American tobacco,Nicotiana,Solanaceae,South America,agriculture,alien,Agricultural plant,Jul.-Oct.,Whole plant,very strong toxic,very strong toxic,,,yes
P519,Capsicum annuum L.,Schotenpfeffer,Spanish pepper,Capsicum,Solanaceae,Central America,rarely introduced,alien,Ornamental garden plant,Jun.-Aug.,Fruit,skin-irritating,strong toxic,,yes,
P520,Brugmansia suaveolens (Willd.) Humb. & Bonpl.,Engelstrompete,Angel's trumpet,Brugmansia,Solanaceae,South America,0,alien,Ornamental garden plant,Aug.-Oct.,Aerial part,very strong toxic,very strong toxic,,yes,
P521,Brugmansia versicolor Lagerh.,Bunte Engelstrompete,Angel's tear,Brugmansia,Solanaceae,South America,0,alien,Ornamental garden plant,Jul.-Sep.,Aerial part,toxic (unknown strength),very strong toxic,,yes,
P522,Brunfelsia grandiflora D. Don,Brunfelisa,Royal purple brunfelisa,Brunfelisa,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,
P523,Brunfelsia latiflora (Pohl) Benth.,Brunfelisa,Brunfelisa,Brunfelisa,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,
P524,Brunfelsia pauciflora (Cham. & Schltdl.) Benth.,Grosskelchige Brunfelsie,Yesterday-today-and-tomorrow,Brunfelisa,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,
P525,Brunfelsia uniflora (Pohl) D. Don,Manac-Brunfelsie,Manaca,Brunfelsia,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,
