Latin name provided,latinNameNoAuthor
Tabernaemontana crassa,Tabernaemontana crassa
Tabernaemontana dichotoma,Tabernaemontana dichotoma
Tabernaemontana divaricata,Tabernaemontana divaricata
Tabernaemontana elegans,Tabernaemontana elegans
Tabernaemontana fuchsiaefolia,Tabernaemontana fuchsiaefolia
Tabernaemontana grandiflora,Tabernaemontana grandiflora
Tabernaemontana heyneana,Tabernaemontana heyneana
Tabernaemontana holstii,Tabernaemontana holstii
Tabernaemontana johnstonii,Tabernaemontana johnstonii
Tabernaemontana macrophylla,Tabernaemontana macrophylla
Tabernaemontana oppositifolia,Tabernaemontana oppositifolia
Tabernaemontana orientalis,Tabernaemontana orientalis
Tabernaemontana pachysiphon,Tabernaemontana pachysiphon
Tabernaemontana psychotrifolia,Tabernaemontana psychotrifolia
Tabernaemontana riedelii,Tabernaemontana riedelii
Tabernaemontana rigida,Tabernaemontana rigida
Tabernaemontana sananho,Tabernaemontana sananho
Tabernaemontana stapfiana,Tabernaemontana stapfiana
Tabernaemontana usambarensis,Tabernaemontana usambarensis
Tabernaemontana ventricosa,Tabernaemontana ventricosa
Tabernanthe,Tabernanthe
Tabernanthe dichotoma,Tabernanthe dichotoma
Tabernanthe iboga,Tabernanthe iboga
Tabernanthe sananho,Tabernanthe sananho
Tacazzea,Tacazzea
Tacazzea apiculata,Tacazzea apiculata
Tacca,Tacca
Tacca pinnatifida,Tacca pinnatifida
Taccaceae,Taccaceae
Tachia guianensis,Tachia guianensis
Tachigalia,Tachigalia
Tacsonia,Tacsonia
Tacsonia var. volxemii,Tacsonia var. volxemii
Taeckholmia,
Taeckholmia arborea,
Taeckholmia capillaris,
Taeckholmia microcarpa,
Taeckholmia pinnata,
Tagetes,Tagetes
Tagetes erecta,Tagetes erecta
Tagetes filifolia,Tagetes filifolia
Tagetes florida,Tagetes florida
Tagetes glandulifera,Tagetes glandulifera
Tagetes lucida,Tagetes lucida
Tagetes micrantha,Tagetes micrantha
Tagetes minuta,Tagetes minuta
Tagetes multifida,Tagetes multifida
Tagetes patula,Tagetes patula
Tagetes schiedeana,Tagetes schiedeana
Tagetes tenuifolia,Tagetes tenuifolia
Talauma ovata,Talauma ovata
Talbotiella,Talbotiella
Talinum,Talinum
Talinum caffrum,Talinum caffrum
Talinum paniculatum,Talinum paniculatum
Talinum patens,Talinum patens
Talinum speciosa,Talinum speciosa
Talinum triangulare,Talinum triangulare
Talisia,Talisia
Talisia furfuracea,Talisia furfuracea
Talisia squarrosa,Talisia squarrosa
Tamarindus,Tamarindus
Tamarindus indica,Tamarindus indica
Tamarindus indica as 'tamarind',Tamarindus indica as 'tamarind'
Tamarix,Tamarix
Tamarix gallica,Tamarix gallica
Tamarix nilotica,Tamarix nilotica
Tamarix ramosissima,
Tamus,Tamus
Tamus communis,Tamus communis
Tamus communis as 'black bryony',Tamus communis as 'black bryony'
Tamus communis L.,
Tanacetum,Tanacetum
Tanacetum as 'pyrethrum',Tanacetum as 'pyrethrum'
Tanacetum balsamita,Tanacetum balsamita
Tanacetum cineraiifolium,Tanacetum cineraiifolium
Tanacetum cinerariaefolium,Tanacetum cinerariaefolium
Tanacetum cinerariifolium,Tanacetum cinerariifolium
Tanacetum cinerariifolium as 'pyrethrum',Tanacetum cinerariifolium as 'pyrethrum'
Tanacetum coccineum,Tanacetum coccineum
Tanacetum odessanum,Tanacetum odessanum
Tanacetum parthenium,Tanacetum parthenium
Tanacetum parthenum,Tanacetum parthenum
Tanacetum vulgare,Tanacetum vulgare
Tanacetum vulgare as 'tansy',Tanacetum vulgare as 'tansy'
Tanacetum vulgaris,Tanacetum vulgaris
Tanaecium,Tanaecium
Tanaecium crucigerum,Tanaecium crucigerum
Tanaecium exitiosum,Tanaecium exitiosum
Tanaecium exitosium,Tanaecium exitosium
Tanaecium jaroba,Tanaecium jaroba
Tanaecium nocturnum,Tanaecium nocturnum
Tanghinia,Tanghinia
Tanghinia venenifera,Tanghinia venenifera
'tannins','tannins'
Tapinanthus,Tapinanthus
Tapinanthus oleifolius,Tapinanthus oleifolius
Tapirira,Tapirira
Tapirira mexicana,Tapirira mexicana
Tapura,Tapura
Tapura guianensis,Tapura guianensis
Taqetes indica,Taqetes indica
Taraktogenos blumei,Taraktogenos blumei
Taraktogenos kurzii,Taraktogenos kurzii
Taraxacum,Taraxacum
Taraxacum alpinum,
Taraxacum bessarabicum,
Taraxacum bicorne,
Taraxacum dens leonis,Taraxacum dens leonis
Taraxacum dens-leonis,Taraxacum dens-leonis
Taraxacum erythrospermum,Taraxacum erythrospermum
Taraxacum formosanum,
Taraxacum hallaisanense,
Taraxacum hondoense,
Taraxacum kok-saghyz,Taraxacum kok-saghyz
Taraxacum laevigatum,Taraxacum laevigatum
Taraxacum linearisquameum,
Taraxacum mongolicum,
Taraxacum obovatum,
Taraxacum officinale,Taraxacum officinale
Taraxacum officinale as 'dandelion',Taraxacum officinale as 'dandelion'
Taraxacum officinalis,Taraxacum officinalis
Taraxacum platycarpum,
Taraxacum rubicundum,
Taraxacum section Borealia,Taraxacum section Borealia
Taraxacum section Erythrosperma,Taraxacum section Erythrosperma
Taraxacum section Ruderalia,Taraxacum section Ruderalia
Taraxacum section Taraxacum,Taraxacum section Taraxacum
Taraxacum taraxacum,Taraxacum taraxacum
Taraxacum wallichii,
Taraxacum-officinale,Taraxacum-officinale
Tarchonanthus trilobus,Tarchonanthus trilobus
Tarenaya,Tarenaya
Tarichium,Tarichium
Tarrietia cochinchinensis,Tarrietia cochinchinensis
Tarrietia utilis,Tarrietia utilis
Tasmannia,Tasmannia
Tauschia arguta,Tauschia arguta
Taxacae,Taxacae
Taxacea,Taxacea
Taxaceae,Taxaceae
Taxaceae as 'taxacées',Taxaceae as 'taxacées'
Taxacées,Taxacées
Taxodiaceae,Taxodiaceae
Taxodium distichum,Taxodium distichum
Taxomyces andreanae,Taxomyces andreanae
Taxopsida,Taxopsida
Taxus,Taxus
Taxus as 'paclitaxel',Taxus as 'paclitaxel'
Taxus as 'taxanes',Taxus as 'taxanes'
Taxus as 'yew',Taxus as 'yew'
Taxus bacatta,Taxus bacatta
Taxus baccata,Taxus baccata
Taxus baccata as 'if',Taxus baccata as 'if'
Taxus baccata as 'yew',Taxus baccata as 'yew'
Taxus baccata 'Stricta',Taxus baccata 'Stricta'
Taxus baccata var. aurea,Taxus baccata var. aurea
Taxus baccata var. baccata,Taxus baccata var. baccata
Taxus baccata var. barroni,Taxus baccata var. barroni
Taxus baccata var. dovastoniana,Taxus baccata var. dovastoniana
Taxus baccata var. fastigiata,Taxus baccata var. fastigiata
Taxus baccata var. fructu luteo,Taxus baccata var. fructu luteo
Taxus baccata var. repandens,Taxus baccata var. repandens
Taxus baccata var. semperaurea,Taxus baccata var. semperaurea
Taxus baccata var. washingtonii,Taxus baccata var. washingtonii
Taxus breviflora,Taxus breviflora
Taxus brevifolia,Taxus brevifolia
Taxus brevifolice,Taxus brevifolice
Taxus canadensis,Taxus canadensis
Taxus canadensis as 'ground hemlock',Taxus canadensis as 'ground hemlock'
Taxus capitata,Taxus capitata
Taxus caspicata,Taxus caspicata
Taxus celebica,Taxus celebica
Taxus chinensis,Taxus chinensis
Taxus cuspidata,Taxus cuspidata
Taxus cuspidata as 'Japanese yew',Taxus cuspidata as 'Japanese yew'
Taxus cuspidata var. nana,Taxus cuspidata var. nana
Taxus cuspidata var. thayerae,Taxus cuspidata var. thayerae
Taxus fastigata,Taxus fastigata
Taxus fastigiata,Taxus fastigiata
Taxus floridana,Taxus floridana
Taxus mairei,Taxus mairei
Taxus media,Taxus media
Taxus media 'Hicki',Taxus media 'Hicki'
Taxus media var hicksii,Taxus media var hicksii
Taxus media var. hatfieldii,Taxus media var. hatfieldii
Taxus speciosa,Taxus speciosa
Taxus wallichiana,Taxus wallichiana
Taxus x media,Taxus x media
Taxus x media cv. Nigra,Taxus x media cv. Nigra
Taxus xmedia,Taxus xmedia
Teackholmia capillaria,
Teclea,Teclea
Teclea boiviniana,Teclea boiviniana
Teclea natalensis,Teclea natalensis
Teclea simplicifolia,Teclea simplicifolia
Tecoma,Tecoma
Tecoma araliacea,Tecoma araliacea
Tecoma australis,Tecoma australis
Tecoma chrysothricha,Tecoma chrysothricha
Tecoma flavescens,Tecoma flavescens
Tecoma ipe,Tecoma ipe
Tecoma jasminoides,Tecoma jasminoides
Tecoma lapacho,Tecoma lapacho
Tecoma leucoxylon,Tecoma leucoxylon
Tecoma ochracea,Tecoma ochracea
Tecoma oxleyi,Tecoma oxleyi
Tecoma peroba,Tecoma peroba
Tecoma radicans,Tecoma radicans
Tecoma stans,Tecoma stans
Tecoma undulata,Tecoma undulata
Tecomaria,Tecomaria
Tecomaria capensis,Tecomaria capensis
Tecomaria capensis var. capensis,Tecomaria capensis var. capensis
Tecomella undulata,Tecomella undulata
Tecona grandis as 'teak',Tecona grandis as 'teak'
Tecophilaea cyanocrocus,Tecophilaea cyanocrocus
Tecophilaeaceae,Tecophilaeaceae
Tectella,Tectella
Tectella patellaris,Tectella patellaris
Tectona,Tectona
Tectona grandis,Tectona grandis
Tectona grandis as 'teak',Tectona grandis as 'teak'
Tectonia grandis,Tectonia grandis
Tectonis grandis,Tectonis grandis
Teedia pubescens,Teedia pubescens
Telamonia,Telamonia
Telanthera philoxeroides,Telanthera philoxeroides
Telekia,Telekia
Telekia speciosa,Telekia speciosa
Telfairia,Telfairia
Telfairia occidentalis,Telfairia occidentalis
Telfairia pedata,Telfairia pedata
Teline,Teline
Teline canariensis,Teline canariensis
Teline linifolia,Teline linifolia
Teline monspessulana,Teline monspessulana
Telitoxicum,Telitoxicum
Telitoxicum minutiflorum,Telitoxicum minutiflorum
Telitoxicum peruvianum,Telitoxicum peruvianum
Tellima grandiflora,Tellima grandiflora
Temnocalyx obovatus,Temnocalyx obovatus
Templetonia,Templetonia
Templetonia egena,Templetonia egena
Templetonia glauca,Templetonia glauca
Templetonia retusa,Templetonia retusa
Tenia saginata,Tenia saginata
Teonanacatl,Teonanacatl
Tephrocybe,Tephrocybe
Tephrosia,Tephrosia
Tephrosia appollinae,Tephrosia appollinae
Tephrosia bidwillii,Tephrosia bidwillii
Tephrosia bracteolata,Tephrosia bracteolata
Tephrosia breviipes,Tephrosia breviipes
Tephrosia candida,Tephrosia candida
Tephrosia cinerea,Tephrosia cinerea
Tephrosia dichrocarpa,Tephrosia dichrocarpa
Tephrosia emeroides,Tephrosia emeroides
Tephrosia fulvinervus,Tephrosia fulvinervus
Tephrosia gracilipes,Tephrosia gracilipes
Tephrosia hildebrandtii,Tephrosia hildebrandtii
Tephrosia holstii,Tephrosia holstii
Tephrosia interrupta,Tephrosia interrupta
Tephrosia interrupta ssp. mildbraedii,Tephrosia interrupta ssp. mildbraedii
Tephrosia lanceolata,Tephrosia lanceolata
Tephrosia lupinifolia,Tephrosia lupinifolia
Tephrosia macropoda,Tephrosia macropoda
Tephrosia nitens,Tephrosia nitens
Tephrosia piscatoria,Tephrosia piscatoria
Tephrosia purpurea,Tephrosia purpurea
Tephrosia radicans,Tephrosia radicans
Tephrosia rensburgii,Tephrosia rensburgii
Tephrosia rosea,Tephrosia rosea
Tephrosia sinapou,Tephrosia sinapou
Tephrosia toxicaria,Tephrosia toxicaria
Tephrosia villosa var. incana,Tephrosia villosa var. incana
Tephrosia virginiana,Tephrosia virginiana
Tephrosia vogeli,Tephrosia vogeli
Tephrosia vogelii,Tephrosia vogelii
Tephrosia vogellii,Tephrosia vogellii
Teprota morganic,Teprota morganic
Teramnus,Teramnus
Teramus uncinatus,Teramus uncinatus
Terastigma obtectum,Terastigma obtectum
Terminalia,Terminalia
Terminalia alata,Terminalia alata
Terminalia arjuna,Terminalia arjuna
Terminalia australis,Terminalia australis
Terminalia belerica,Terminalia belerica
Terminalia bellirica,Terminalia bellirica
Terminalia brownei,Terminalia brownei
Terminalia bursarina,Terminalia bursarina
Terminalia catappa,Terminalia catappa
Terminalia chebula,Terminalia chebula
Terminalia ferdinandiana,Terminalia ferdinandiana
Terminalia ivorensis,Terminalia ivorensis
Terminalia kaiserana,Terminalia kaiserana
Terminalia mollis,Terminalia mollis
Terminalia muelleri,Terminalia muelleri
Terminalia oblongata,Terminalia oblongata
Terminalia oblongata subsp. oblongata,Terminalia oblongata subsp. oblongata
Terminalia oblongata subsp. volucris,Terminalia oblongata subsp. volucris
Terminalia sericea,Terminalia sericea
Terminalia superba,Terminalia superba
Terminalia volucris,Terminalia volucris
Termitomyces,Termitomyces
Termitomyces robustus,Termitomyces robustus
Termitomyces striatus,Termitomyces striatus
Ternstroemia,Ternstroemia
Ternstroemia cherryi,Ternstroemia cherryi
Ternstroemiaceae,Ternstroemiaceae
Tessaria,Tessaria
Tessaria dodeneifolia,Tessaria dodeneifolia
Tetracarpidium conophorum,Tetracarpidium conophorum
Tetracera,Tetracera
Tetraclinis articulata,
Tetracocyne angustifolia,Tetracocyne angustifolia
Tetrademia canescens,Tetrademia canescens
Tetradenia,
Tetradium glabrifolium,Tetradium glabrifolium
Tetradymia,Tetradymia
Tetradymia axillaris,Tetradymia axillaris
Tetradymia canescens,Tetradymia canescens
Tetradymia glabrata,Tetradymia glabrata
Tetradymia nuttallii,Tetradymia nuttallii
Tetradymia spinosa var. longispina,Tetradymia spinosa var. longispina
Tetradymia spinosa var. spinosa,Tetradymia spinosa var. spinosa
Tetradymia stenolepis,Tetradymia stenolepis
Tetragonia,Tetragonia
Tetragonia expansa,Tetragonia expansa
Tetragonia moorei,Tetragonia moorei
Tetragonia schenckii,Tetragonia schenckii
Tetragonia tetragonioides,Tetragonia tetragonioides
Tetragoniaceae,Tetragoniaceae
Tetragonolobus,Tetragonolobus
Tetragonolobus maritimus,Tetragonolobus maritimus
Tetrapanax papyriferum,Tetrapanax papyriferum
Tetrapanax papyriferus,Tetrapanax papyriferus
Tetrapanax papyriferus as 'Chinese rice paper plant',Tetrapanax papyriferus as 'Chinese rice paper plant'
Tetrapathaea,Tetrapathaea
Tetrapathaea tetrandra,Tetrapathaea tetrandra
Tetrapathea tetranda,Tetrapathea tetranda
Tetrapleura,Tetrapleura
Tetrapleura tetraptera,Tetrapleura tetraptera
Tetraploa,Tetraploa
Tetraploa aristata,Tetraploa aristata
Tetrapteris,Tetrapteris
Tetrapteris methystica,Tetrapteris methystica
Tetrapteris mucronata,Tetrapteris mucronata
Tetrapteris multiglandulosa,Tetrapteris multiglandulosa
Tetrapterys,Tetrapterys
Tetrapterys acutifolia,Tetrapterys acutifolia
Tetrapterys multiglandulosa,Tetrapterys multiglandulosa
Tetrastigma obtectum,Tetrastigma obtectum
Tetrasynandra laxiflora,Tetrasynandra laxiflora
Tetrorchidium didymostemon,Tetrorchidium didymostemon
Teucrium,Teucrium
Teucrium acordium,Teucrium acordium
Teucrium argutum,Teucrium argutum
Teucrium canadense,Teucrium canadense
Teucrium canadensis,Teucrium canadensis
Teucrium capitatum,Teucrium capitatum
Teucrium chamaedrys,Teucrium chamaedrys
Teucrium chamaedrys as 'germander',Teucrium chamaedrys as 'germander'
Teucrium fruticans,Teucrium fruticans
Teucrium marum,Teucrium marum
Teucrium polium,Teucrium polium
Thalamiflorae,Thalamiflorae
Thalaspi arvense,Thalaspi arvense
Thalictrum,Thalictrum
Thalictrum aquilegifolium,Thalictrum aquilegifolium
Thalictrum dasycarpum,Thalictrum dasycarpum
Thalictrum dioicum,Thalictrum dioicum
Thalictrum flavum,Thalictrum flavum
Thalictrum flavum ssp. flavum,Thalictrum flavum ssp. flavum
Thalictrum foetidum,Thalictrum foetidum
Thalictrum foliolosum,Thalictrum foliolosum
Thalictrum hernandezii,Thalictrum hernandezii
Thalictrum kuhistanicum,Thalictrum kuhistanicum
Thalictrum lucidum,Thalictrum lucidum
Thalictrum minus,Thalictrum minus
Thalictrum occidentale,Thalictrum occidentale
Thalictrum polycarpum,Thalictrum polycarpum
Thalictrum polygamum,Thalictrum polygamum
Thalictrum revolutum,Thalictrum revolutum
Thalictrum rugosum,Thalictrum rugosum
Thalictrum simplex,Thalictrum simplex
Thallophtyes,Thallophtyes
Thallophyta,Thallophyta
Thallophytes,Thallophytes
Thamnosa,Thamnosa
Thamnosa montana,Thamnosa montana
Thamnosa texana,Thamnosa texana
Thamnosma,Thamnosma
Thamnosma montana,Thamnosma montana
Thamnosma texana,Thamnosma texana
Thapsia,Thapsia
Thapsia garganica,Thapsia garganica
Thapsia maxima,Thapsia maxima
Thapsia villosa,Thapsia villosa
Thaspium,Thaspium
Thaspium aureum,Thaspium aureum
Thaspium trifoliatum,Thaspium trifoliatum
Thaumatococcus daniellii,Thaumatococcus daniellii
Thea,Thea
Thea japonica,Thea japonica
Thea sinensis,Thea sinensis
Theaceae,Theaceae
Thecaphora berkeleyana,Thecaphora berkeleyana
Thelephora,Thelephora
Thelephoraceae,Thelephoraceae
Thelesperma,Thelesperma
Thelesperma gracile,Thelesperma gracile
Thelionema,Thelionema
Thelypodium,Thelypodium
Thelypodium lasiophyllum,Thelypodium lasiophyllum
Thelypteris augescens,Thelypteris augescens
Themeda,Themeda
Themeda anathera,Themeda anathera
Themeda arundinacea,Themeda arundinacea
Themeda australis,Themeda australis
Themeda gigantea,Themeda gigantea
Themeda trianda,Themeda trianda
Themeda triandra,Themeda triandra
Theobroma,Theobroma
Theobroma angustifolium,Theobroma angustifolium
Theobroma bicolor,Theobroma bicolor
Theobroma cacao,Theobroma cacao
Theobroma cacao as 'cacao',Theobroma cacao as 'cacao'
Theobroma cacao as 'chocolate',Theobroma cacao as 'chocolate'
Theobroma cacao as 'cocoa',Theobroma cacao as 'cocoa'
Theobroma cacao ssp. cacao,Theobroma cacao ssp. cacao
Theobroma grandiflorum,Theobroma grandiflorum
Theobroma subincanum,Theobroma subincanum
Theodorea costus,Theodorea costus
Theophrasta,Theophrasta
Theophrastaceae,Theophrastaceae
Theophrastaceao,Theophrastaceao
Thephrosia apollinea,Thephrosia apollinea
Thermoactinomyces vulgaris,Thermoactinomyces vulgaris
Thermopolyspora polyspora,Thermopolyspora polyspora
Thermopsis,Thermopsis
Thermopsis arenosa,Thermopsis arenosa
Thermopsis argentata,Thermopsis argentata
Thermopsis caroliniana,Thermopsis caroliniana
Thermopsis chinensis,Thermopsis chinensis
Thermopsis cinerea,Thermopsis cinerea
Thermopsis divaricarpa,Thermopsis divaricarpa
Thermopsis divaricata,Thermopsis divaricata
Thermopsis fraxinifolia,Thermopsis fraxinifolia
Thermopsis gracilis,Thermopsis gracilis
Thermopsis lanceolata,Thermopsis lanceolata
Thermopsis lupinoides,Thermopsis lupinoides
Thermopsis macrophylla,Thermopsis macrophylla
Thermopsis mollis,Thermopsis mollis
Thermopsis montana,Thermopsis montana
Thermopsis rhombifolia,Thermopsis rhombifolia
Thermopsis villosa,Thermopsis villosa
Thesium,Thesium
Thesium aphyllum,Thesium aphyllum
Thesium brasiliense,Thesium brasiliense
Thesium hystrix,Thesium hystrix
Thesium lineatum,Thesium lineatum
Thesium namaquense,Thesium namaquense
Thesium triflorum,Thesium triflorum
Thespesia,Thespesia
Thespesia populnea,Thespesia populnea
Thevetia,Thevetia
Thevetia ahouai,Thevetia ahouai
Thevetia nereifolia,Thevetia nereifolia
Thevetia nerifolia,Thevetia nerifolia
Thevetia neriifolia,Thevetia neriifolia
Thevetia neriifolium,Thevetia neriifolium
Thevetia nitida,Thevetia nitida
Thevetia ovata,Thevetia ovata
Thevetia peruana,Thevetia peruana
Thevetia peruviana,Thevetia peruviana
Thevetia peruviana (Pers.) K. Shum,
Thevetia peruviana as 'yellow oleander',Thevetia peruviana as 'yellow oleander'
Thevetia thevetia,Thevetia thevetia
Thevetia thevetioides,Thevetia thevetioides
Thevetia yccotli,Thevetia yccotli
Thevitia,Thevitia
Thezera,Thezera
Thiaspi arvense,Thiaspi arvense
Thilea glaucocarpa,Thilea glaucocarpa
Thiloa glaucocarpa,Thiloa glaucocarpa
Thiourea,Thiourea
Thlapsi,Thlapsi
Thlaspi,Thlaspi
Thlaspi arvense,Thlaspi arvense
Thomsonia,Thomsonia
Thomsonia napalensis,Thomsonia napalensis
Thomsonia nepalensis,Thomsonia nepalensis
Thorn,Thorn
Thorncroftia,
Thrasya petrosa,Thrasya petrosa
Threlkeldia,Threlkeldia
Threlkeldia proceriflora,Threlkeldia proceriflora
Threlkeldia proceriflorus,Threlkeldia proceriflorus
Thryallis,Thryallis
Thuia occidentalis,Thuia occidentalis
Thuidium,Thuidium
Thuja,Thuja
Thuja as 'cedar',Thuja as 'cedar'
Thuja gigantea,Thuja gigantea
Thuja koraiensis,Thuja koraiensis
Thuja occidentalis,Thuja occidentalis
Thuja orientalis,Thuja orientalis
Thuja plica,Thuja plica
Thuja plicata,Thuja plicata
Thuja standishii,Thuja standishii
Thujopsis dolabrata,Thujopsis dolabrata
Thuna placata,Thuna placata
Thunbergia,Thunbergia
Thunbergia alata,Thunbergia alata
Thuya,Thuya
Thuya gigantea,Thuya gigantea
Thuya occidentalis,Thuya occidentalis
Thuya orientalis,Thuya orientalis
Thuya plicata,Thuya plicata
Thylachium africanum,Thylachium africanum
Thylachium thomasii,Thylachium thomasii
Thymelacaceae,Thymelacaceae
Thymelaceae,Thymelaceae
Thymelaea hirsuta,Thymelaea hirsuta
Thymelaeaceae,Thymelaeaceae
Thymelaeceae,Thymelaeceae
Thymeleaceae,Thymeleaceae
Thymophylla,Thymophylla
Thymus,Thymus
Thymus azoricus,Thymus azoricus
Thymus biflorus Buch. - Ham. Ex D.Don,
Thymus caespititius,Thymus caespititius
Thymus camphoratus,Thymus camphoratus
Thymus capitatus,Thymus capitatus
Thymus herba-barona,Thymus herba-barona
Thymus hiemalis,Thymus hiemalis
Thymus hirtus,Thymus hirtus
Thymus linearis Benth.,
Thymus longicaulis,Thymus longicaulis
Thymus mastichina,Thymus mastichina
Thymus micans,Thymus micans
Thymus muna,Thymus muna
Thymus piperella,Thymus piperella
Thymus praecox,Thymus praecox
Thymus praecox subsp. articus,Thymus praecox subsp. articus
Thymus pseudolanuginosus,Thymus pseudolanuginosus
Thymus pulegioides,Thymus pulegioides
Thymus pulegioides x Thymus vulgaris,Thymus pulegioides x Thymus vulgaris
Thymus quinquecostatus,Thymus quinquecostatus
Thymus saturoides,Thymus saturoides
Thymus serpyllum,Thymus serpyllum
Thymus thracicus,Thymus thracicus
Thymus vulgaris,Thymus vulgaris
Thymus vulgaris subsp. aestivus,Thymus vulgaris subsp. aestivus
Thymus vulgaris subsp. vulgaris,Thymus vulgaris subsp. vulgaris
Thymus x citriodorus,Thymus x citriodorus
Thymus xcitriodorus,Thymus xcitriodorus
Thymus zygis,Thymus zygis
Thyrsostachys siamensis,Thyrsostachys siamensis
Thysanotaena agrotis,Thysanotaena agrotis
Thysanotaena maxima,Thysanotaena maxima
Tibouchina,Tibouchina
Tibouchina chamissoana,Tibouchina chamissoana
Tibouchina gracilis var.hirsuta,Tibouchina gracilis var.hirsuta
Tieghemella africana,Tieghemella africana
Tieghemella heckelii,Tieghemella heckelii
Tieghemella heckelii as 'african cherry',Tieghemella heckelii as 'african cherry'
Tigridia pavonia,Tigridia pavonia
Tilia,Tilia
Tilia americana,Tilia americana
Tilia as 'lime',Tilia as 'lime'
Tilia as 'linden',Tilia as 'linden'
Tilia cordata,Tilia cordata
Tilia europea,Tilia europea
Tilia petiolaris,Tilia petiolaris
Tilia platyphyllos,Tilia platyphyllos
Tilia platyphyllos L.,
Tiliacae,Tiliacae
Tiliacaeae,Tiliacaeae
Tiliaceae,Tiliaceae
Tiliaceae as ‘Tiliacées’,Tiliaceae as ‘Tiliacées’
Tiliacora,Tiliacora
Tiliacora acuminata,Tiliacora acuminata
Tiliacora racemosa,Tiliacora racemosa
Tillandsia cyanea,Tillandsia cyanea
Tillandsia recurvata,Tillandsia recurvata
Tillandsia streptocarpa,Tillandsia streptocarpa
Tillandsia usneoides,Tillandsia usneoides
Tilletia,Tilletia
Tilletia controversa,Tilletia controversa
Tilletia decipiens,Tilletia decipiens
Tilletia hordei,Tilletia hordei
Timotocia rosularis,Timotocia rosularis
Tinea,Tinea
Tinomiscium,Tinomiscium
Tinosphora rumphii,Tinosphora rumphii
Tinospora,Tinospora
Tinospora cordifolia,Tinospora cordifolia
Tinospora crispa,Tinospora crispa
Tinospora rumphii,Tinospora rumphii
Tinospora smilacina,Tinospora smilacina
Tipuana,Tipuana
Tipuana tipu,Tipuana tipu
Tiramania pinoyi,Tiramania pinoyi
Tirucalli,Tirucalli
Tithonia,Tithonia
Tithonia diversifolia,Tithonia diversifolia
Tithonia tagitiflora,Tithonia tagitiflora
Tithonia tubaeformis,Tithonia tubaeformis
Tithymalopsis,Tithymalopsis
Tithymalopsis ipecacuanhae,Tithymalopsis ipecacuanhae
Tithymalus,Tithymalus
Tithymalus cyparissias,Tithymalus cyparissias
Tithymalus esula,Tithymalus esula
Tocicodendron diversilobum,Tocicodendron diversilobum
Tocoyena,Tocoyena
Tocoyena formosa,Tocoyena formosa
Toddalia,Toddalia
Toddalia aculeata,Toddalia aculeata
Toddalia asiatica,Toddalia asiatica
Toddalioideae,Toddalioideae
Toechima tenax,Toechima tenax
Tofieldia,Tofieldia
Tofieldia calyculata,Tofieldia calyculata
Togaria aurea,Togaria aurea
Tolmiea,Tolmiea
Tolmiea menziesii,Tolmiea menziesii
Tolpis barbata,Tolpis barbata
Toluifera balsamum,Toluifera balsamum
Toluifera pereirae,Toluifera pereirae
Tolyposporium philippinensis,Tolyposporium philippinensis
Tolypothrix conglutinata,Tolypothrix conglutinata
Tonacetum vulgare,Tonacetum vulgare
Tonduzia,Tonduzia
Tonduzia longifolia,Tonduzia longifolia
Toona ciliata,Toona ciliata
Toona sureni,Toona sureni
Topobea,Topobea
Tordyliinae,Tordyliinae
Tordylium,Tordylium
Tordylium apulum,Tordylium apulum
Tordylium maximum,Tordylium maximum
Tordylium officinale,Tordylium officinale
Torenia fourmieri,Torenia fourmieri
Torilis,Torilis
Torilis arvensis,Torilis arvensis
Torilis japonica,Torilis japonica
Torilis leptophylla,Torilis leptophylla
Torilis nodosa,Torilis nodosa
Torilis scabra,Torilis scabra
Torilis tenella,Torilis tenella
Torreya,Torreya
Torreya californica,Torreya californica
Torreya grandis,Torreya grandis
Torreya nucifera,Torreya nucifera
Torrezia,Torrezia
Torruba,Torruba
Torrubia longifolia,Torrubia longifolia
Tournefortia,Tournefortia
Tournefortia hirsutissima,Tournefortia hirsutissima
Tournefortia sarmentosa,Tournefortia sarmentosa
Tournefortia zeylandicum,Tournefortia zeylandicum
Tovariaceae,Tovariaceae
Tovomitas,Tovomitas
Townsendia sericea,Townsendia sericea
Toxanthera natalensis,Toxanthera natalensis
Toxicaria americana,Toxicaria americana
Toxicodendron,Toxicodendron
Toxicodendron altissimum,Toxicodendron altissimum
Toxicodendron borneense,Toxicodendron borneense
Toxicodendron capense,Toxicodendron capense
Toxicodendron diversiloba,Toxicodendron diversiloba
Toxicodendron diversilobium,Toxicodendron diversilobium
Toxicodendron diversilobum,Toxicodendron diversilobum
Toxicodendron diversilobum as 'poison oak',Toxicodendron diversilobum as 'poison oak'
Toxicodendron globosum,Toxicodendron globosum
Toxicodendron griffithii,Toxicodendron griffithii
Toxicodendron guercifolium,Toxicodendron guercifolium
Toxicodendron magnifolium,Toxicodendron magnifolium
Toxicodendron nodosum,Toxicodendron nodosum
Toxicodendron pinnatum,Toxicodendron pinnatum
Toxicodendron pubescens,Toxicodendron pubescens
Toxicodendron quercifolia,Toxicodendron quercifolia
Toxicodendron quercifolium,Toxicodendron quercifolium
Toxicodendron quereifolium,Toxicodendron quereifolium
Toxicodendron radicans,Toxicodendron radicans
Toxicodendron radicans as 'poison ivy',Toxicodendron radicans as 'poison ivy'
Toxicodendron radicans subsp. hispidum,Toxicodendron radicans subsp. hispidum
